seq,send_stack_us,recv_stack_us,network_latency_us
248,15.93994140625,79.18896484375,826
249,24.656982421875,108.7060546875,822
250,17.5130615234375,86.4639892578125,828
251,17.653076171875,122.802001953125,809
252,23.1529541015625,94.2879638671875,5806
253,17.7540283203125,97.89599609375,5210
254,17.904052734375,92.4140625,4719
255,23.364013671875,50.135009765625,4253
256,15.8800048828125,48.69091796875,3832
257,15.0689697265625,50.125,3460
258,15.5489501953125,48.4219970703125,3133
259,16.1810302734375,48.2310791015625,2961
260,15.27001953125,76.5250244140625,2706
261,15.1490478515625,49.04296875,2478
262,15.0189208984375,48.6610107421875,2272
263,15.2890625,96.6229248046875,2113
264,18.10498046875,92.625,1957
265,40.8179931640625,125.0859375,1838
266,18.43505859375,91.1529541015625,1734
267,18.1839599609375,84.821044921875,1613
268,41.909912109375,107.60302734375,1513
269,18.10498046875,47.3699951171875,1425
270,17.322021484375,45.3060302734375,1366
271,17.052978515625,40.0550537109375,1283
272,31.550048828125,45.825927734375,1225
273,14.14697265625,45.7669677734375,1178
274,14.2879638671875,45.7969970703125,1147
275,14.2860107421875,45.81689453125,1114
276,16.991943359375,48.1199951171875,1075
277,15.0889892578125,69.9320068359375,1045
278,23.716064453125,38.7530517578125,1113
279,17.2530517578125,45.8670654296875,1216
280,17.0419921875,45.8759765625,1162
281,14.3570556640625,51.3380126953125,1125
282,51.3570556640625,45.2750244140625,1152
283,33.123046875,45.656005859375,1104
284,14.1680908203125,45.9969482421875,1072
285,17.54296875,69.1419677734375,1061
286,17.613037109375,95.699951171875,1046
287,18.174072265625,79.1090087890625,1014
288,27.2210693359375,65.4840087890625,1544
289,16.56201171875,65.2130126953125,1461
290,17.6240234375,38.491943359375,1392
291,14.156982421875,37.6510009765625,1315
292,14.297119140625,45.716064453125,1263
293,13.7550048828125,45.9560546875,1212
294,13.736083984375,46.18701171875,1176
295,13.9769287109375,45.8170166015625,1141
296,14.26708984375,45.294921875,1096
297,17.4920654296875,45.1259765625,1063
298,48.1319580078125,45.9769287109375,1033
299,17.322998046875,62.5589599609375,1009
300,15.178955078125,45.6749267578125,992
301,14.14697265625,45.68603515625,973
302,14.3370361328125,46.35791015625,951
303,14.248046875,46.0970458984375,942
304,16.6009521484375,45.656005859375,944
305,13.7259521484375,49.39404296875,952
306,15.197998046875,45.7269287109375,945
307,16.6119384765625,45.9169921875,930
308,13.6859130859375,45.7569580078125,918
309,15.01904296875,56.2760009765625,922
310,19.97802734375,45.717041015625,5667
311,17.1629638671875,45.7569580078125,5083
312,17.823974609375,78.6380615234375,4668
313,16.1099853515625,45.677001953125,4204
314,14.1669921875,46.5379638671875,3848
315,17.0419921875,50.8460693359375,3519
316,16.9329833984375,45.97705078125,3199
317,17.072998046875,45.3050537109375,2918
318,16.6409912109375,100.159912109375,2697
319,44.2840576171875,48.281005859375,2481
320,14.968017578125,123.1429443359375,2290
321,18.1639404296875,41.0379638671875,2106
322,14.45703125,39.675048828125,1958
323,42.0689697265625,68.138916015625,1815
324,16.56201171875,50.676025390625,1707
325,14.91796875,60.43505859375,1620
326,11.802001953125,92.9859619140625,1539
327,21.8310546875,109.3170166015625,1459
328,18.81494140625,98.135986328125,1400
329,17.613037109375,61.094970703125,1328
330,12.6640625,59.412109375,1277
331,12.5050048828125,59.3929443359375,1232
332,11.9130859375,61.034912109375,1196
333,12.7249755859375,59.4119873046875,1171
334,11.802978515625,92.7550048828125,1134
335,17.4029541015625,51.988037109375,1099
336,17.7730712890625,116.490966796875,1061
337,17.8330078125,62.47802734375,1024
338,12.5830078125,59.6029052734375,994
339,11.73193359375,76.2939453125,976
340,14.2060546875,88.928955078125,970
