seq,send_stack_us,recv_stack_us,network_latency_us
275,21.9820556640625,75.9530029296875,3005
276,16.1700439453125,44.012939453125,3021
277,18.2459716796875,87.7269287109375,2985
278,19.0360107421875,121.9208984375,2921
279,18.364990234375,41.248046875,2896
280,17.7030029296875,50.365966796875,2878
281,17.1719970703125,47.3900146484375,2865
282,17.8939208984375,52.1480712890625,2873
283,16.1400146484375,50.9659423828125,2916
284,15.4990234375,48.85205078125,2927
285,15.5789794921875,70.7030029296875,2939
286,15.658935546875,95.822021484375,2951
287,20.0791015625,173.4390869140625,2939
288,32.409912109375,51.1259765625,2949
289,31.1199951171875,85.6019287109375,2938
290,17.552978515625,114.5169677734375,2932
291,26.4300537109375,46.0460205078125,2927
292,23.4140625,114.9979248046875,2931
293,19.3060302734375,90.8509521484375,2917
294,26.529052734375,94.197021484375,2889
295,20.8389892578125,47.8299560546875,2905
296,16.9619140625,46.4779052734375,2890
297,17.52294921875,50.4559326171875,2902
298,20.4400634765625,35.4769287109375,2983
299,17.1619873046875,48.89306640625,3005
300,21.2100830078125,48.35205078125,2993
301,20.968994140625,160.2530517578125,3016
302,51.5980224609375,48.5220947265625,2982
303,17.54296875,53.781982421875,3001
304,35.376953125,48.6510009765625,2995
305,37.85107421875,113.7550048828125,3018
306,50.125,123.4129638671875,3065
307,48.742919921875,53.0,3053
308,24.2550048828125,130.1259765625,3053
309,19.827880859375,98.9169921875,3072
310,44.2630615234375,127.9219970703125,3058
311,19.677978515625,85.9620361328125,3043
312,18.6650390625,49.4739990234375,2958
313,17.9639892578125,116.9310302734375,2922
314,19.325927734375,144.9349365234375,2962
315,18.43505859375,139.2030029296875,2996
316,18.85498046875,46.658935546875,3008
317,14.3179931640625,116.5399169921875,2985
318,18.926025390625,86.6029052734375,2982
319,17.89404296875,120.18798828125,3007
320,19.7879638671875,86.9539794921875,3017
321,19.3160400390625,122.3719482421875,2982
322,18.93701171875,35.365966796875,2956
323,41.10791015625,61.9169921875,2927
324,12.4539794921875,57.909912109375,2964
325,15.7099609375,40.426025390625,2961
326,11.8919677734375,56.486083984375,2973
327,15.9200439453125,94.0469970703125,2954
328,15.22900390625,39.4639892578125,2957
329,53.341064453125,143.4920654296875,2960
330,19.7769775390625,58.18994140625,2980
331,37.3800048828125,71.074951171875,2993
332,19.26708984375,44.2039794921875,3077
333,132.6700439453125,56.8070068359375,3173
334,20.18798828125,54.3829345703125,3193
335,49.7940673828125,183.0670166015625,4328
336,50.35595703125,51.0260009765625,4167
337,20.549072265625,48.9129638671875,4013
338,15.9410400390625,52.0989990234375,3859
339,48.0400390625,151.5670166015625,3812
340,20.3779296875,74.33203125,3700
341,45.865966796875,93.5970458984375,3606
342,18.3050537109375,95.06103515625,3539
343,18.325927734375,47.2589111328125,3497
344,27.010986328125,51.968017578125,3439
345,15.698974609375,48.77294921875,3362
346,62.867919921875,116.5400390625,3281
347,20.3489990234375,47.970947265625,3241
348,30.26806640625,99.548095703125,3172
349,19.0670166015625,124.906005859375,3106
350,19.0260009765625,150.155029296875,3143
351,20.1590576171875,121.2889404296875,3110
352,19.347900390625,102.2220458984375,3106
353,18.655029296875,95.802001953125,3082
354,23.5450439453125,65.6939697265625,3052
355,12.5040283203125,57.4190673828125,3134
356,15.530029296875,40.8670654296875,3119
357,12.0030517578125,62.3580322265625,3091
358,13.114990234375,158.5909423828125,3065
359,21.31005859375,132.1700439453125,3076
360,32.2109375,60.7149658203125,3094
361,23.073974609375,63.3499755859375,3157
362,17.9140625,47.22900390625,3177
363,20.16796875,39.303955078125,3194
364,53.050048828125,47.4180908203125,3202
365,38.8619384765625,107.2230224609375,3314
366,48.56201171875,290.760009765625,3330
367,77.0870361328125,48.81201171875,3290
